epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,73.3554,0.58275,0.44783,0.82285,0.97499,0.94064,0.97121,0.78518,0.50931,0.36895,0.7972,9.91162e-05,9.91162e-05,9.91162e-05
88,74.0813,0.5687,0.45174,0.80361,0.98257,0.94337,0.97471,0.79124,0.50737,0.36547,0.79696,9.25129e-05,9.25129e-05,9.25129e-05
89,74.7876,0.55905,0.43556,0.81267,0.98257,0.94337,0.97471,0.79124,0.50737,0.36547,0.79696,8.59096e-05,8.59096e-05,8.59096e-05
90,75.6091,0.60206,0.43991,0.80317,0.98805,0.94501,0.97856,0.79236,0.50809,0.36362,0.79741,7.93063e-05,7.93063e-05,7.93063e-05
91,81.622,0.58869,0.45981,0.8086,0.98805,0.94501,0.97856,0.79236,0.50809,0.36362,0.79741,7.2703e-05,7.2703e-05,7.2703e-05
92,83.3452,0.61586,0.52174,0.79874,0.9855,0.95053,0.97829,0.79201,0.51034,0.366,0.79759,6.60997e-05,6.60997e-05,6.60997e-05
93,84.0154,0.56173,0.4607,0.80953,0.9855,0.95053,0.97829,0.79201,0.51034,0.366,0.79759,5.94964e-05,5.94964e-05,5.94964e-05
94,84.6754,0.54094,0.42427,0.79641,0.98011,0.95298,0.97847,0.79143,0.50971,0.36819,0.79746,5.28931e-05,5.28931e-05,5.28931e-05
95,85.3275,0.54341,0.42099,0.79087,0.98011,0.95298,0.97847,0.79143,0.50971,0.36819,0.79746,4.62898e-05,4.62898e-05,4.62898e-05
96,86.0259,0.57613,0.45744,0.81627,0.97938,0.95685,0.97844,0.79251,0.50908,0.37107,0.79719,3.96865e-05,3.96865e-05,3.96865e-05
97,86.8308,0.53683,0.42156,0.8026,0.97938,0.95685,0.97844,0.79251,0.50908,0.37107,0.79719,3.30832e-05,3.30832e-05,3.30832e-05
98,87.6562,0.54057,0.42346,0.79317,0.97586,0.95653,0.97843,0.79453,0.50751,0.37327,0.79689,2.64799e-05,2.64799e-05,2.64799e-05
99,88.3862,0.55628,0.43419,0.7983,0.97586,0.95653,0.97843,0.79453,0.50751,0.37327,0.79689,1.98766e-05,1.98766e-05,1.98766e-05
100,89.1189,0.5545,0.44496,0.80138,0.97603,0.95701,0.97789,0.78913,0.50832,0.37503,0.79691,1.32733e-05,1.32733e-05,1.32733e-05
